trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-48.52036830599806,"{0: 15, 1: 1, 2: 2, 3: 2, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-62.02548525239449,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-116.9514657052306,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-132.73198000099362,"{0: 16, 1: 0, 2: 7, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-109.41498898527469,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-160.92366549058744,"{0: 16, 1: 0, 2: 6, 3: 0, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-222.28001932645395,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 5}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-120.12529870994888,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",30,0,-146.29020643406815,"{0: 20, 1: 1, 2: 5, 3: 2, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-105.55255163606816,"{0: 17, 1: 0, 2: 5, 3: 2, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-109.23609048933935,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-7.333843218160478,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-113.50346489762032,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-49.80323129224582,"{0: 15, 1: 1, 2: 2, 3: 2, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-74.10946489859761,"{0: 19, 1: 0, 2: 4, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,0,-15.350117953370273,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-58.817896440842155,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-6.237020196617671,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,12.327488923494585,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",30,24,8.533938454079557,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,9,-47.716870804173034,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 1}",1
2,True,"{'a': 0, 'e': 0}",20,0,-27.1115162013528,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
3,True,"{'a': 0, 'e': 0}",20,0,-97.96511457258757,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 3}",0
4,True,"{'a': 0, 'e': 0}",20,9,14.732844255535712,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,0,-26.089816800175758,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
6,True,"{'a': 0, 'e': 0}",25,0,-75.32721329770922,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 2}",0
7,True,"{'a': 0, 'e': 0}",25,0,-133.14002544450304,"{0: 20, 1: 0, 2: 0, 3: 2, 4: 3}",0
8,True,"{'a': 0, 'e': 0}",25,0,-87.18125630341649,"{0: 20, 1: 0, 2: 2, 3: 2, 4: 1}",0
9,True,"{'a': 0, 'e': 0}",25,0,-61.755953393990694,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 2}",0
10,True,"{'a': 0, 'e': 0}",20,10,17.62835329686478,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
