trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-162.4223982830513,"{0: 9, 1: 0, 2: 7, 3: 3, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.9999988750002109}",25,0,-136.23284380421998,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.999995500003375}",20,0,-107.62029173907155,"{0: 7, 1: 5, 2: 7, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.9999898750170859}",20,0,-167.08546543604265,"{0: 9, 1: 1, 2: 7, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.999982000054}",20,0,-82.42698991648871,"{0: 11, 1: 1, 2: 7, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.9999718751318357}",35,0,-159.59251562653455,"{0: 22, 1: 2, 2: 9, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.9999595002733742}",25,0,-83.19493225335803,"{0: 18, 1: 0, 2: 6, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.999944875506459}",20,0,-129.90236165761888,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.9999280008639958}",20,0,-53.90359947552916,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.9999088763839525}",20,0,-114.04335141067894,"{0: 13, 1: 0, 2: 3, 3: 3, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.9998875021093592}",20,0,-111.66994056587173,"{0: 11, 1: 3, 2: 3, 3: 2, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.9998638780883079}",25,0,-191.13118933009721,"{0: 16, 1: 2, 2: 2, 3: 1, 4: 4}",0
13,False,"{'a': 0.5, 'e': 0.9998380043739528}",20,0,-102.04085154078977,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.9998098810245096}",25,0,-94.85758657528334,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.9997795081032559}",20,0,-119.66184950700145,"{0: 9, 1: 5, 2: 4, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.9997468856785308}",20,0,-53.98515902592525,"{0: 13, 1: 0, 2: 7, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.9997120138237345}",30,0,-191.74520763678396,"{0: 14, 1: 5, 2: 8, 3: 1, 4: 2}",0
