trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-66.15594796296055,"{0: 14, 1: 1, 2: 3, 3: 2, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-88.3628363679155,"{0: 11, 1: 2, 2: 5, 3: 2, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-124.66090245516224,"{0: 11, 1: 1, 2: 5, 3: 2, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-16.053237566418623,"{0: 21, 1: 1, 2: 2, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-143.86043285089013,"{0: 9, 1: 5, 2: 3, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,10,-24.614322299876967,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-104.55197446350886,"{0: 13, 1: 2, 2: 9, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-206.11103495049437,"{0: 13, 1: 2, 2: 5, 3: 2, 4: 3}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-177.19786415201517,"{0: 15, 1: 1, 2: 5, 3: 1, 4: 3}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-170.77237479593927,"{0: 10, 1: 0, 2: 7, 3: 0, 4: 3}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-65.16950655102039,"{0: 20, 1: 0, 2: 3, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,16,-6.775265370997647,"{0: 6, 1: 3, 2: 0, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-63.43018862780615,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-195.86254540715933,"{0: 12, 1: 0, 2: 9, 3: 2, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",30,0,-171.62391000955728,"{0: 19, 1: 3, 2: 4, 3: 1, 4: 3}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-151.83279169032213,"{0: 10, 1: 0, 2: 7, 3: 1, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-72.03470485600255,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",30,0,-134.42388191937042,"{0: 19, 1: 3, 2: 6, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-114.42513804993,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-65.26827334647423,"{0: 13, 1: 0, 2: 6, 3: 1, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-121.01796938611017,"{0: 15, 1: 2, 2: 5, 3: 2, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-118.81980489646003,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",30,0,-185.00810163321054,"{0: 20, 1: 1, 2: 4, 3: 2, 4: 3}",0
4,True,"{'a': 0.5, 'e': 1.0}",30,0,-171.68533443570922,"{0: 16, 1: 4, 2: 7, 3: 1, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",30,0,-178.02324744742052,"{0: 16, 1: 1, 2: 11, 3: 0, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-49.15635281894251,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-124.49799226477052,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-250.47870522414308,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 5}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-74.68793168119453,"{0: 12, 1: 3, 2: 3, 3: 2, 4: 0}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-137.88808927558188,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
